model_snapshot,item_id,lower,point,upper,source
taxonomy-r3/claude-haiku-4-5@2026-07-02,order_galliformes,280.0,310.0,340.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-haiku-4-5@2026-07-02,order_passeriformes,6200.0,6500.0,6900.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-haiku-4-5@2026-07-02,order_piciformes,380.0,420.0,460.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-haiku-4-5@2026-07-02,order_psittaciformes,350.0,400.0,450.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-haiku-4-5@2026-07-02,order_sphenisciformes,17.0,18.0,19.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-haiku-4-5@2026-07-02,order_strigiformes,190.0,220.0,250.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-haiku-4-5@2026-07-02,pavo_phasianidae_genus,1.0,2.0,3.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-haiku-4-5@2026-07-02,pitta_pittidae_genus,28.0,32.0,36.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-haiku-4-5@2026-07-02,ramphastos_ramphastidae_genus,5.0,6.0,7.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-haiku-4-5@2026-07-02,sarkidiornis_anatidae_genus,1.0,2.0,3.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-haiku-4-5@2026-07-02,selenidera_ramphastidae_genus,3.0,4.0,5.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-haiku-4-5@2026-07-02,synthliboramphus_alcidae_genus,4.0,5.0,6.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-haiku-4-5@2026-07-02,urotriorchis_accipitridae_genus,1.0,1.0,2.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-haiku-4-5@2026-07-02,xenoglaux_strigidae_genus,1.0,1.0,2.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-opus-4-5-20251101@2026-07-30,accipiter_accipitridae_genus,42.0,50.0,55.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\opus45_anchor_baseline\by_prompt.csv
taxonomy-r3/claude-opus-4-5-20251101@2026-07-30,amazona_psittacidae_genus,28.0,33.0,38.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\opus45_anchor_baseline\by_prompt.csv
taxonomy-r3/claude-opus-4-5-20251101@2026-07-30,anas_anatidae_genus,28.0,35.0,48.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\opus45_anchor_baseline\by_prompt.csv
taxonomy-r3/claude-opus-4-5-20251101@2026-07-30,aptenodytes_spheniscidae_genus,2.0,2.0,2.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\opus45_anchor_baseline\by_prompt.csv
taxonomy-r3/claude-opus-4-5-20251101@2026-07-30,archilochus_trochilidae_genus,2.0,2.0,2.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\opus45_anchor_baseline\by_prompt.csv
taxonomy-r3/claude-opus-4-5-20251101@2026-07-30,bolborhynchus_psittacidae_genus,3.0,4.0,6.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\opus45_anchor_baseline\by_prompt.csv
taxonomy-r3/claude-opus-4-5-20251101@2026-07-30,bubo_strigidae_genus,18.0,22.0,26.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\opus45_anchor_baseline\by_prompt.csv
taxonomy-r3/claude-opus-4-5-20251101@2026-07-30,carpodacus_fringillidae_genus,22.0,28.0,35.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\opus45_anchor_baseline\by_prompt.csv
taxonomy-r3/claude-opus-4-5-20251101@2026-07-30,chaetocercus_trochilidae_genus,4.0,6.0,8.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\opus45_anchor_baseline\by_prompt.csv
taxonomy-r3/claude-opus-4-5-20251101@2026-07-30,claravis_columbidae_genus,2.0,3.0,4.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\opus45_anchor_baseline\by_prompt.csv
taxonomy-r3/claude-opus-4-5-20251101@2026-07-30,columba_columbidae_genus,30.0,35.0,42.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\opus45_anchor_baseline\by_prompt.csv
taxonomy-r3/claude-opus-4-5-20251101@2026-07-30,corvus_corvidae_genus,42.0,46.0,52.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\opus45_anchor_baseline\by_prompt.csv
taxonomy-r3/claude-opus-4-5-20251101@2026-07-30,erythropitta_pittidae_genus,8.0,12.0,16.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\opus45_anchor_baseline\by_prompt.csv
taxonomy-r3/claude-opus-4-5-20251101@2026-07-30,eudyptula_spheniscidae_genus,1.0,2.0,3.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\opus45_anchor_baseline\by_prompt.csv
taxonomy-r3/claude-opus-4-5-20251101@2026-07-30,falco_falconidae_genus,36.0,40.0,45.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\opus45_anchor_baseline\by_prompt.csv
taxonomy-r3/claude-opus-4-5-20251101@2026-07-30,family_accipitridae,240.0,255.0,280.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\opus45_anchor_baseline\by_prompt.csv
taxonomy-r3/claude-opus-4-5-20251101@2026-07-30,family_alcidae,21.0,24.0,28.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\opus45_anchor_baseline\by_prompt.csv
taxonomy-r3/claude-opus-4-5-20251101@2026-07-30,family_anatidae,146.0,174.0,180.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\opus45_anchor_baseline\by_prompt.csv
taxonomy-r3/claude-opus-4-5-20251101@2026-07-30,family_columbidae,310.0,344.0,365.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\opus45_anchor_baseline\by_prompt.csv
taxonomy-r3/claude-opus-4-5-20251101@2026-07-30,family_corvidae,115.0,133.0,145.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\opus45_anchor_baseline\by_prompt.csv
taxonomy-r3/claude-opus-4-5-20251101@2026-07-30,family_falconidae,58.0,65.0,70.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\opus45_anchor_baseline\by_prompt.csv
taxonomy-r3/claude-opus-4-5-20251101@2026-07-30,family_fringillidae,180.0,228.0,250.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\opus45_anchor_baseline\by_prompt.csv
taxonomy-r3/claude-opus-4-5-20251101@2026-07-30,family_phasianidae,170.0,185.0,210.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\opus45_anchor_baseline\by_prompt.csv
taxonomy-r3/claude-opus-4-5-20251101@2026-07-30,family_pittidae,38.0,42.0,48.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\opus45_anchor_baseline\by_prompt.csv
taxonomy-r3/claude-opus-4-5-20251101@2026-07-30,family_psittacidae,150.0,175.0,200.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\opus45_anchor_baseline\by_prompt.csv
taxonomy-r3/claude-opus-4-5-20251101@2026-07-30,family_ramphastidae,40.0,45.0,50.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\opus45_anchor_baseline\by_prompt.csv
taxonomy-r3/claude-opus-4-5-20251101@2026-07-30,family_spheniscidae,17.0,18.0,20.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\opus45_anchor_baseline\by_prompt.csv
taxonomy-r3/claude-opus-4-5-20251101@2026-07-30,family_strigidae,180.0,220.0,250.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\opus45_anchor_baseline\by_prompt.csv
taxonomy-r3/claude-opus-4-5-20251101@2026-07-30,family_trochilidae,330.0,366.0,380.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\opus45_anchor_baseline\by_prompt.csv
taxonomy-r3/claude-opus-4-5-20251101@2026-07-30,fratercula_alcidae_genus,3.0,3.0,4.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\opus45_anchor_baseline\by_prompt.csv
taxonomy-r3/claude-opus-4-5-20251101@2026-07-30,fringilla_fringillidae_genus,3.0,3.0,4.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\opus45_anchor_baseline\by_prompt.csv
taxonomy-r3/claude-opus-4-5-20251101@2026-07-30,ithaginis_phasianidae_genus,1.0,1.0,2.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\opus45_anchor_baseline\by_prompt.csv
taxonomy-r3/claude-opus-4-5-20251101@2026-07-30,microhierax_falconidae_genus,4.0,5.0,6.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\opus45_anchor_baseline\by_prompt.csv
taxonomy-r3/claude-opus-4-5-20251101@2026-07-30,nucifraga_corvidae_genus,2.0,3.0,4.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\opus45_anchor_baseline\by_prompt.csv
taxonomy-r3/claude-opus-4-5-20251101@2026-07-30,order_accipitriformes,240.0,270.0,320.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\opus45_anchor_baseline\by_prompt.csv
taxonomy-r3/claude-opus-4-5-20251101@2026-07-30,order_anseriformes,165.0,180.0,195.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\opus45_anchor_baseline\by_prompt.csv
taxonomy-r3/claude-opus-4-5-20251101@2026-07-30,order_apodiformes,420.0,480.0,550.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\opus45_anchor_baseline\by_prompt.csv
taxonomy-r3/claude-opus-4-5-20251101@2026-07-30,order_charadriiformes,340.0,380.0,420.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\opus45_anchor_baseline\by_prompt.csv
taxonomy-r3/claude-opus-4-5-20251101@2026-07-30,order_columbiformes,310.0,350.0,390.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\opus45_anchor_baseline\by_prompt.csv
taxonomy-r3/claude-opus-4-5-20251101@2026-07-30,order_falconiformes,60.0,66.0,75.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\opus45_anchor_baseline\by_prompt.csv
taxonomy-r3/claude-opus-4-5-20251101@2026-07-30,order_galliformes,280.0,310.0,340.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\opus45_anchor_baseline\by_prompt.csv
taxonomy-r3/claude-opus-4-5-20251101@2026-07-30,order_passeriformes,5800.0,6400.0,6800.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\opus45_anchor_baseline\by_prompt.csv
taxonomy-r3/claude-opus-4-5-20251101@2026-07-30,order_piciformes,380.0,440.0,500.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\opus45_anchor_baseline\by_prompt.csv
taxonomy-r3/claude-opus-4-5-20251101@2026-07-30,order_psittaciformes,370.0,400.0,420.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\opus45_anchor_baseline\by_prompt.csv
taxonomy-r3/claude-opus-4-5-20251101@2026-07-30,order_sphenisciformes,17.0,18.0,20.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\opus45_anchor_baseline\by_prompt.csv
taxonomy-r3/claude-opus-4-5-20251101@2026-07-30,order_strigiformes,220.0,250.0,280.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\opus45_anchor_baseline\by_prompt.csv
taxonomy-r3/claude-opus-4-5-20251101@2026-07-30,pavo_phasianidae_genus,2.0,2.0,3.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\opus45_anchor_baseline\by_prompt.csv
taxonomy-r3/claude-opus-4-5-20251101@2026-07-30,pitta_pittidae_genus,32.0,42.0,55.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\opus45_anchor_baseline\by_prompt.csv
taxonomy-r3/claude-opus-4-5-20251101@2026-07-30,ramphastos_ramphastidae_genus,7.0,8.0,11.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\opus45_anchor_baseline\by_prompt.csv
taxonomy-r3/claude-opus-4-5-20251101@2026-07-30,sarkidiornis_anatidae_genus,1.0,2.0,3.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\opus45_anchor_baseline\by_prompt.csv
taxonomy-r3/claude-opus-4-5-20251101@2026-07-30,selenidera_ramphastidae_genus,5.0,6.0,8.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\opus45_anchor_baseline\by_prompt.csv
taxonomy-r3/claude-opus-4-5-20251101@2026-07-30,synthliboramphus_alcidae_genus,4.0,5.0,6.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\opus45_anchor_baseline\by_prompt.csv
taxonomy-r3/claude-opus-4-5-20251101@2026-07-30,urotriorchis_accipitridae_genus,1.0,1.0,2.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\opus45_anchor_baseline\by_prompt.csv
taxonomy-r3/claude-opus-4-5-20251101@2026-07-30,xenoglaux_strigidae_genus,1.0,1.0,1.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\opus45_anchor_baseline\by_prompt.csv
taxonomy-r3/claude-opus-4-8@2026-07-02,accipiter_accipitridae_genus,12.0,40.0,52.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-opus-4-8@2026-07-02,amazona_psittacidae_genus,30.0,33.0,37.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-opus-4-8@2026-07-02,anas_anatidae_genus,12.0,31.0,46.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-opus-4-8@2026-07-02,aptenodytes_spheniscidae_genus,2.0,2.0,3.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-opus-4-8@2026-07-02,archilochus_trochilidae_genus,2.0,2.0,3.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-opus-4-8@2026-07-02,bolborhynchus_psittacidae_genus,3.0,4.0,5.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-opus-4-8@2026-07-02,bubo_strigidae_genus,18.0,20.0,25.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-opus-4-8@2026-07-02,carpodacus_fringillidae_genus,24.0,28.0,34.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-opus-4-8@2026-07-02,chaetocercus_trochilidae_genus,6.0,6.0,8.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-opus-4-8@2026-07-02,claravis_columbidae_genus,2.0,3.0,3.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-opus-4-8@2026-07-02,columba_columbidae_genus,30.0,35.0,42.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-opus-4-8@2026-07-02,corvus_corvidae_genus,42.0,46.0,51.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-opus-4-8@2026-07-02,erythropitta_pittidae_genus,8.0,12.0,16.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-opus-4-8@2026-07-02,eudyptula_spheniscidae_genus,1.0,2.0,2.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-opus-4-8@2026-07-02,falco_falconidae_genus,37.0,40.0,46.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-opus-4-8@2026-07-02,family_accipitridae,245.0,255.0,270.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-opus-4-8@2026-07-02,family_alcidae,23.0,24.0,26.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-opus-4-8@2026-07-02,family_anatidae,150.0,174.0,180.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-opus-4-8@2026-07-02,family_columbidae,320.0,344.0,360.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-opus-4-8@2026-07-02,family_corvidae,120.0,133.0,145.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-opus-4-8@2026-07-02,family_falconidae,63.0,66.0,70.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-opus-4-8@2026-07-02,family_fringillidae,200.0,235.0,260.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-opus-4-8@2026-07-02,family_phasianidae,180.0,185.0,200.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-opus-4-8@2026-07-02,family_pittidae,30.0,42.0,50.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-opus-4-8@2026-07-02,family_psittacidae,150.0,180.0,400.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-opus-4-8@2026-07-02,family_ramphastidae,35.0,43.0,50.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-opus-4-8@2026-07-02,family_spheniscidae,17.0,18.0,20.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-opus-4-8@2026-07-02,family_strigidae,210.0,240.0,265.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-opus-4-8@2026-07-02,family_trochilidae,330.0,360.0,370.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-opus-4-8@2026-07-02,fratercula_alcidae_genus,3.0,3.0,4.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-opus-4-8@2026-07-02,fringilla_fringillidae_genus,3.0,4.0,4.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-opus-4-8@2026-07-02,ithaginis_phasianidae_genus,1.0,1.0,2.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-opus-4-8@2026-07-02,microhierax_falconidae_genus,5.0,5.0,6.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-opus-4-8@2026-07-02,nucifraga_corvidae_genus,2.0,3.0,4.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-opus-4-8@2026-07-02,order_accipitriformes,240.0,265.0,290.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
taxonomy-r3/claude-opus-4-8@2026-07-02,order_anseriformes,175.0,180.0,185.0,C:\Users\chaos\Projects\bird-taxonomy-evals\results\latest_inspect\by_prompt.csv
